"","rank","title","revenue","ceo","position","sector","industry","hq","years","employees","sex","sexCoef","sexPred1","sexPred2"
"66",66,"Nationwide",43939.9,"Stephen S. Rasmussen","Chief Executive Officer","Financials","Insurance: Property and Casualty (Mutual)","Columbus, Ohio",18,411,"M",0,-0.000456207964906498,2.22044604925031e-16
"67",67,"Morgan Stanley",43642,"James P. Gorman","Chairman & Chief Executive Officer","Financials","Commercial Banks","New York City",18,557,"M",0,0.119616686626053,0.751495337765743
"68",68,"Liberty Mutual Insurance Group",42687,"David H. Long","Chairman, President & Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","Boston",18,538,"M",0,0.0353148642003833,0.106378403572372
"69",69,"New York Life Insurance",42296,"Theodore A. Mathas","Chairman & Chief Executive Officer","Financials","Insurance: Life, Health (Mutual)","New York City",18,60,"M",0,0.0997373996556126,0.961748438009928
"70",70,"Goldman Sachs Group",42254,"David M. Solomon","Chairman & Chief Executive Officer","Financials","Commercial Banks","New York City",12,427,"M",0,0.11959820441345,0.723729571813874
"71",71,"American Airlines Group",42207,"W. Douglas Parker","Chairman & Chief Executive Officer","Transportation","Airlines","Fort Worth",18,107,"M",0,0.11082192466629,0.999524835409498
"72",72,"Best Buy",42151,"Hubert B. Joly","Chairman & Chief Executive Officer","Retailing","Specialty Retailers: Other","Richfield, Minn.",18,105,"M",0,0.0663114448218241,0.530827283211938
"73",73,"Cigna",41616,"David M. Cordani","President, Chief Executive Officer & Director","Health Care","Health Care: Insurance and Managed Care","Bloomfield, Conn.",18,497,"M",0,0.0995162351440336,0.999994256274704
"74",74,"Charter Communications",41581,"Thomas M. Rutledge","Chairman & Chief Executive Officer","Telecommunications","Telecommunications","Stamford, Conn.",11,739,"M",0,-0.000559958648116596,1
"75",75,"Delta Air Lines",41244,"Edward H. Bastian","Chairman & Chief Executive Officer","Transportation","Airlines","Atlanta",18,702,"M",0,0.11081359619633,0.9994797860935
"76",76,"Facebook",40653,"Mark Zuckerberg","Chairman & Chief Executive Officer","Technology","Internet Services and Retailing","Menlo Park, Calif.",22,325,"M",0,-0.000568750342520688,2.22044604925031e-16
"77",77,"Honeywell International",40534,"Darius Adamczyk","President, Chief Executive Officer & Director","Industrials","Electronics, Electrical Equip.","Morris Plains, N.J.",18,124,"M",0,-0.000590911093445353,1
"78",78,"Merck",40122,"Kenneth C. Frazier","Chairman, President & Chief Executive Officer","Health Care","Pharmaceuticals","Kenilworth, N.J.",18,614,"M",0,-0.000219699969599807,2.22044604925031e-16
"79",79,"Allstate",38524,"Thomas J. Wilson","Chairman, President & Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","Northbrook, Ill.",17,486,"M",0,0.0352641212247234,0.0724600911450223
"80",80,"Tyson Foods",38260,"Noel White","President, Chief Executive Officer & Director","Food, Beverages & Tobacco","Food Production","Springdale, Ark.",18,102,"M",0,-0.000381499624566411,1
"81",81,"United Continental Holdings",37736,"Oscar Munoz","Chairman & Chief Executive Officer","Transportation","Airlines","Chicago",18,707,"M",0,0.110763178298172,0.999246853821341
"83",83,"Tech Data",36775,"Richard T. Hume","Chairman & Chief Executive Officer","Wholesalers","Wholesalers: Electronics and Office Equipment","Clearwater, Fla.",18,128,"M",0,-0.000270232975528902,0.999999999841379
"84",84,"TIAA",36025.3,"Roger W. Ferguson Jr.","President, Chief Executive Officer & Director","Financials","Insurance: Life, Health (Mutual)","New York City",15,183,"M",0,0.0996572896983976,0.929742495274842
"85",85,"TJX",35864.7,"Ernie L. Herrman","President, Chief Executive Officer & Director","Retailing","Specialty Retailers: Apparel","Framingham, Mass.",18,321,"M",0,0.299285822389138,2.22044604925031e-16
"86",86,"American Express",35583,"Stephen J. Squeri","Chairman & Chief Executive Officer","Financials","Diversified Financials","New York City",18,550,"M",0,0.0552107553937032,0.847798109715404
"87",87,"Coca-Cola",35410,"James R. Quincey","President, Chief Executive Officer & Director","Food, Beverages & Tobacco","Beverages","Atlanta",18,596,"M",0,-0.000389991499373672,2.22044604925031e-16
"88",88,"Publix Super Markets",34836.8,"Randall T. Jones Sr.","President, Chief Executive Officer & Director","Food & Drug Stores","Food and Drug Stores","Lakeland, Fla.",18,231,"M",0,-0.000673576052423707,0.999999999912968
"89",89,"Nike",34350,"Mark G. Parker","Chairman, President & Chief Executive Officer","Apparel","Apparel","Beaverton, Ore.",18,661,"M",0,0.0763502065435974,0.89624187148402
"91",91,"World Fuel Services",33695.5,"Michael J. Kasbar","Chairman & Chief Executive Officer","Energy","Energy","Miami",7,511,"M",0,-0.000614323751048511,1
"92",92,"Exelon",33531,"Christopher M. Crane","President, Chief Executive Officer & Director","Energy","Utilities: Gas and Electric","Chicago",18,418,"M",0,0.242021209383736,0.000701405518621813
"93",93,"Massachusetts Mutual Life Insurance",33495.4,"Roger W. Crandall","Chairman, President & Chief Executive Officer","Financials","Insurance: Life, Health (Mutual)","Springfield, Mass.",18,76,"M",0,0.0996318762848363,0.911943548956212
"94",94,"Rite Aid",32845.1,"John T. Standley","Chairman & Chief Executive Officer","Food & Drug Stores","Food and Drug Stores","Camp Hill, Pa.",18,655,"M",0,-0.000696125779767111,0.999999999893903
"95",95,"ConocoPhillips",32584,"Ryan M. Lance","Chairman & Chief Executive Officer","Energy","Mining, Crude-Oil Production","Houston",18,66,"M",0,0.0448545280306495,0.000142616082148751
"96",96,"CHS",31934.8,"Jay D. Debertin","President, Chief Executive Officer & Director","Food, Beverages & Tobacco","Food Production","Inver Grove Heights, Minn.",12,72,"M",0,-0.000460268599084109,1
"97",97,"3M",31657,"Michael F. Roman","Chairman, President & Chief Executive Officer","Industrials","Miscellaneous","St. Paul, Minn.",18,733,"M",0,-2.67526886060798e-17,1
"98",98,"Time Warner",31271,"John Stankey","Chairman & Chief Executive Officer","Media","Entertainment","New York City",12,333,"M",0,-0.000613010124089196,1
"99",99,"General Dynamics",30973,"Phebe N. Novakovic","Chairman & Chief Executive Officer","Aerospace & Defense","Aerospace and Defense","Falls Church, Va.",18,744,"F",1,0.159306162867263,1
"100",100,"USAA",30015.8,"Stuart Parker","Chief Executive Officer","Financials","Insurance: Property and Casualty (Stock)","San Antonio",18,407,"M",0,0.0351569439668706,0.0317588053027806
"101",101,"Capital One Financial",29999,"Richard D. Fairbank","Chairman, President & Chief Executive Officer","Financials","Commercial Banks","McLean, Va.",12,506,"M",0,0.119445590903751,0.429616760336667
"102",102,"Deere",29737.7,"Samuel R. Allen","Chairman, President & Chief Executive Officer","Industrials","Construction and Farm Machinery","Moline, Ill.",18,595,"M",0,-0.00032944791374119,2.22044604925031e-16
