rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
628;Zebra Technologies;$3,722;Anders Gustafsson;Chairman & Chief Executive Officer;Industrials;Electronics, Electrical Equip.;Lincolnshire, Ill.;www.zebra.com;-;7,000;NA;
629;Andersons;$3,686.3;Patrick E. Bowe;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Production;Maumee, Ohio;www.andersonsinc.com;-;1,819;NA;
630;TD Ameritrade Holding;$3,685;Timothy D. Hockey;President, Chief Executive Officer & Director;Financials;Securities;Omaha;www.amtd.com;-;10,412;NA;
631;Carlyle Group;$3,676.2;Kewsong Lee/Glenn A. Youngkin;Co-Chief Executive Officer & Director;Financials;Securities;Washington;www.carlyle.com;-;1,600;NA;
632;Hubbell;$3,668.8;David G. Nord;Chairman, President & Chief Executive Officer;Industrials;Electronics, Electrical Equip.;Shelton, Conn.;www.hubbell.com;-;17,700;NA;
633;Trinity Industries;$3,662.8;Timothy R. Wallace;Chairman, President & Chief Executive Officer;Transportation;Transportation Equipment;Dallas;www.trin.net;-;15,605;NA;
634;Darling Ingredients;$3,662.3;Randall C. Stuewe;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Food Production;Irving, Texas;www.darlingii.com;-;9,800;NA;
635;Flowserve;$3,660.8;R. Scott Rowe;President, Chief Executive Officer & Director;Industrials;Industrial Machinery;Irving, Texas;www.flowserve.com;-;17,000;NA;
636;Antero Resources;$3,655.6;Paul M. Rady;Chairman & Chief Executive Officer;Energy;Mining, Crude-Oil Production;Denver;www.anteroresources.com;-;593;NA;
637;Skyworks Solutions;$3,651.4;Liam K. Griffin;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Woburn, Mass.;www.skyworksinc.com;-;8,400;NA;
638;Landstar System;$3,648.9;James B. Gattoni;President, Chief Executive Officer & Director;Transportation;Trucking, Truck Leasing;Jacksonville, Fla.;www.landstar.com;-;1,273;NA;
639;Buckeye Partners;$3,648.1;Clark C. Smith;Chairman, President & Chief Executive Officer;Energy;Pipelines;Houston;www.buckeye.com;-;1,870;NA;
640;MRC Global;$3,646;Andrew R. Lane;President, Chief Executive Officer & Director;Energy;Oil and Gas Equipment, Services;Houston;www.mrcglobal.com;-;3,580;NA;
641;CME Group;$3,644.7;Terrence A. Duffy;Chairman & Chief Executive Officer;Financials;Securities;Chicago;www.cmegroup.com;-;2,830;NA;
642;Greif;$3,638.2;Peter G. Watson;President, Chief Executive Officer & Director;Materials;Packaging, Containers;Delaware, Ohio;www.greif.com;-;13,000;NA;
643;Nexeo Solutions;$3,636.9;David A. Bradley;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Diversified;The Woodlands, Texas;www.nexeosolutions.com;-;2,640;NA;
644;Cooper-Standard Holdings;$3,618.1;Jeffrey S. Edwards;Chairman & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Novi, Mich.;www.cooperstandard.com;-;32,000;NA;
645;Urban Outfitters;$3,616;Richard A. Hayne;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Apparel;Philadelphia;www.urbn.com;-;16,330;NA;
646;LSC Communications;$3,603;Thomas J. Quinlan III;Chairman, President & Chief Executive Officer;Media;Publishing, Printing;Chicago;www.lsccom.com;-;24,000;NA;
647;Sabre;$3,598.5;Sean E. Menke;President, Chief Executive Officer & Director;Technology;Internet Services and Retailing;Southlake, Texas;www.sabre.com;-;9,000;NA;
648;Green Plains;$3,596.2;Todd A. Becker;President, Chief Executive Officer & Director;Energy;Energy;Omaha;www.gpreinc.com;-;1,427;NA;
649;Hexion;$3,591;Craig A. Rogerson;Chairman, President & Chief Executive Officer;Chemicals;Chemicals;Columbus, Ohio;www.hexion.com;-;4,300;NA;
650;Stericycle;$3,580.7;Charles A. Alutto;President, Chief Executive Officer & Director;Business Services;Waste Management;Lake Forest, Ill.;www.stericycle.com;-;23,200;NA;
651;Warner Music Group;$3,576;Stephen F. Cooper;President, Chief Executive Officer & Director;Media;Entertainment;New York City;www.wmg.com;-;4,520;NA;
652;Ventas;$3,574.1;Debra A. Cafaro;Chairman & Chief Executive Officer;Financials;Real estate;Chicago;www.ventasreit.com;-;493;NA;
