rank;title;revenue;ceo;position;sector;industry;hq;website;years;employees;image;
1;Walmart;$500,343;C. Douglas McMillon;President, Chief Executive Officer & Director;Retailing;General Merchandisers;Bentonville, Ark.;www.stock.walmart.com;24;2,300,000;walmart-fortune-5001;
2;Exxon Mobil;$244,363;Darren W. Woods;Chairman & Chief Executive Officer;Energy;Petroleum Refining;Irving, Texas;www.exxonmobil.com;24;71,200;exxonmobil-fortune-500;
3;Berkshire Hathaway;$242,137;Warren E. Buffett;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Omaha;www.berkshirehathaway.com;24;377,000;berkshire-hathaway-fortune-5001;
4;Apple;$229,234;Timothy D. Cook;Chairman & Chief Executive Officer;Technology;Computers, Office Equipment;Cupertino, Calif.;www.apple.com;24;123,000;apple-fortune-500;
5;UnitedHealth Group;$201,159;David S. Wichmann;Chairman & Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;Minnetonka, Minn.;www.unitedhealthgroup.com;24;260,000;gettyimages-516917468;
6;McKesson;$198,533;John H. Hammergren;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Health Care;San Francisco;www.mckesson.com;24;64,500;mckesson-fortune-500;
7;CVS Health;$184,765;Larry J. Merlo;President, Chief Executive Officer & Director;Health Care;Health Care: Pharmacy and Other Services;Woonsocket, R.I.;www.cvshealth.com;24;203,000;cvs-health-fortune-500;
8;Amazon.com;$177,866;Jeffrey P. Bezos;Chairman, President & Chief Executive Officer;Retailing;Internet Services and Retailing;Seattle;www.amazon.com;17;566,000;amazon-com-fortune-500;
9;AT&T;$160,546;Randall L. Stephenson;Chairman, President & Chief Executive Officer;Telecommunications;Telecommunications;Dallas;www.att.com;24;254,000;att-fortune-500;
10;General Motors;$157,311;Mary T. Barra;Chairman & Chief Executive Officer;Motor Vehicles & Parts;Motor Vehicles and Parts;Detroit;www.gm.com;24;180,000;general-motors-fortune-500;
11;Ford Motor;$156,776;James P. Hackett;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Dearborn, Mich.;www.corporate.ford.com;24;202,000;ford-motors-fortune-500;
12;AmerisourceBergen;$153,144;Steven H. Collis;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Health Care;Chesterbrook, Pa.;www.amerisourcebergen.com;24;19,500;amerisourcebergen-fortune-500;
13;Chevron;$134,533;Michael K. Wirth;Chairman & Chief Executive Officer;Energy;Petroleum Refining;San Ramon, Calif.;www.chevron.com;24;51,900;chevron-fortune-500;
14;Cardinal Health;$129,976;Michael C. Kaufmann;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Health Care;Dublin, Ohio;www.cardinalhealth.com;24;40,400;cardinal-health-fortune-500;
15;Costco;$129,025;W. Craig Jelinek;President, Chief Executive Officer & Director;Retailing;General Merchandisers;Issaquah, Wash.;www.costco.com;24;182,000;costco-fortune-500;
16;Verizon;$126,034;Hans E. Vestberg;Chairman & Chief Executive Officer;Telecommunications;Telecommunications;New York City;www.verizon.com;24;155,400;verizon-fortune-500;
17;Kroger;$122,662;W. Rodney McMullen;Chairman & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Cincinnati;www.thekrogerco.com;24;449,000;kroger-fortune-500;
18;General Electric;$122,274;H. Lawrence Culp Jr.;Chairman & Chief Executive Officer;Industrials;Industrial Machinery;Boston;www.ge.com;24;313,000;general-electric-fortune-500;
19;Walgreens Boots Alliance;$118,214;Stefano Pessina;Vice Chairman & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Deerfield, Ill.;www.walgreensbootsalliance.com;24;290,000;walgreens-boots-alliance-fortune-500;
20;JPMorgan Chase;$113,899;James Dimon;Chairman & Chief Executive Officer;Financials;Commercial Banks;New York City;www.jpmorganchase.com;24;252,539;jpmorgan-chase-fortune-500;
21;Fannie Mae;$112,394;Timothy J. Mayopoulos;President, Chief Executive Officer & Director;Financials;Diversified Financials;Washington;www.fanniemae.com;21;7,200;fannie-mae-fortune-500;
22;Alphabet;$110,855;Larry Page;Chief Executive Officer & Director;Technology;Internet Services and Retailing;Mountain View, Calif.;www.abc.xyz;13;80,110;alphabet-fortune500;
23;Home Depot;$100,904;Craig A. Menear;Chairman, President & Chief Executive Officer;Retailing;Specialty Retailers: Other;Atlanta;www.homedepot.com;24;413,000;home-depot-fortune-500;
24;Bank of America Corp.;$100,264;Brian T. Moynihan;Chairman, President & Chief Executive Officer;Financials;Commercial Banks;Charlotte, N.C.;www.bankofamerica.com;24;209,376;bank-of-america-fortune-500;
25;Express Scripts Holding;$100,064.6;Timothy C. Wentworth;President, Chief Executive Officer & Director;Health Care;Health Care: Pharmacy and Other Services;St. Louis;www.express-scripts.com;19;26,600;express-scripts-4;
26;Wells Fargo;$97,741;Timothy J. Sloan;President, Chief Executive Officer & Director;Financials;Commercial Banks;San Francisco;www.wellsfargo.com;24;262,700;wells-fargo-fortune-500;
27;Boeing;$93,392;Dennis A. Muilenburg;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Chicago;www.boeing.com;24;140,800;boeing-fortune-500;
28;Phillips 66;$91,568;Greg C. Garland;Chairman & Chief Executive Officer;Energy;Petroleum Refining;Houston;www.phillips66.com;6;14,600;phillips-66-fortune-500;
29;Anthem;$90,039.4;Gail K. Boudreaux;President, Chief Executive Officer & Director;Health Care;Health Care: Insurance and Managed Care;Indianapolis;www.antheminc.com;24;56,000;anthem-fortune-500;
30;Microsoft;$89,950;Satya Nadella;Chief Executive Officer & Director;Technology;Computer Software;Redmond, Wash.;www.microsoft.com;24;124,000;microsoft-fortune-500;
31;Valero Energy;$88,407;Joseph W. Gorder;Chairman, President & Chief Executive Officer;Energy;Petroleum Refining;San Antonio;www.valero.com;20;10,015;valero-energy-fortune-500;
32;Citigroup;$87,966;Michael L. Corbat;Chairman & Chief Executive Officer;Financials;Commercial Banks;New York City;www.citigroup.com;24;209,000;citigroup-fortune-500;
33;Comcast;$84,526;Brian L. Roberts;Chairman, President & Chief Executive Officer;Telecommunications;Telecommunications;Philadelphia;www.comcastcorporation.com;23;164,000;comcast-fortune-500;
34;IBM;$79,139;Virginia M. Rometty;Chairman, President & Chief Executive Officer;Technology;Information Technology Services;Armonk, N.Y.;www.ibm.com;24;397,800;ibm-fortune-500;
35;Dell Technologies;$78,660;Michael S. Dell;Chairman & Chief Executive Officer;Technology;Computers, Office Equipment;Round Rock, Texas;www.delltechnologies.com;21;145,000;dell-fortune-500;
36;State Farm Insurance Cos.;$78,330.8;Michael L. Tipsord;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);Bloomington, Ill.;www.statefarm.com;24;65,664;state-farm-insurance-fortune-500;
37;Johnson & Johnson;$76,450;Alex Gorsky;Chairman & Chief Executive Officer;Health Care;Pharmaceuticals;New Brunswick, N.J.;www.jnj.com;24;134,000;johnson-johnson-fortune-500;
38;Freddie Mac;$74,676;Donald H. Layton;Chairman & Chief Executive Officer;Financials;Diversified Financials;McLean, Va.;www.freddiemac.com;21;6,165;freddie-mac-fortune-500;
39;Target;$71,879;Brian C. Cornell;Chairman & Chief Executive Officer;Retailing;General Merchandisers;Minneapolis;www.target.com;24;345,000;target-fortune500;
40;Lowe’s;$68,619;Marvin R. Ellison;Chairman, President & Chief Executive Officer;Retailing;Specialty Retailers: Other;Mooresville, N.C.;www.lowes.com;24;255,000;lowes-fortune-500;
41;Marathon Petroleum;$67,610;Gary R. Heminger;Chairman & Chief Executive Officer;Energy;Petroleum Refining;Findlay, Ohio;www.marathonpetroleum.com;7;43,800;marathon-petroleum-fortune-500;
42;Procter & Gamble;$66,217;David S. Taylor;Chairman, President & Chief Executive Officer;Household Products;Household and Personal Products;Cincinnati;www.pg.com;24;95,000;procter-gamble-fortune-500;
43;MetLife;$66,153;Steven A. Kandarian;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);New York City;www.metlife.com;24;49,000;metlife-fortune-500;
44;UPS;$65,872;David P. Abney;Chairman & Chief Executive Officer;Transportation;Mail, Package, and Freight Delivery;Atlanta;www.ups.com;24;346,415;ups-fortune-500;
45;PepsiCo;$63,525;Ramon Laguarta;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Purchase, N.Y.;www.pepsico.com;24;263,000;pepsico-fortune-500;
46;Intel;$62,761;Robert H. Swan;Chairman & Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;Santa Clara, Calif.;www.intel.com;24;102,700;intel-fortune-500;
47;DowDuPont;$62,683;NA;NA;Technology;NA;NA;NA;NA;NA;intel-fortune-500;
48;Archer Daniels Midland;$60,828;Juan R. Luciano;Chairman, President & Chief Executive Officer;Food, Beverages & Tobacco;Food Production;Chicago;www.adm.com;24;31,300;archer-daniels-midland-fortune-500;
49;Aetna;$60,535;Mark T. Bertolini;Chairman & Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;Hartford, Conn.;www.aetna.com;18;47,950;aetna-fortune-500;
50;FedEx;$60,319;Frederick W. Smith;Chairman & Chief Executive Officer;Transportation;Mail, Package, and Freight Delivery;Memphis;www.fedex.com;24;357,000;fedex-fortune-500;
51;United Technologies;$59,837;Gregory J. Hayes;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Farmington, Conn.;www.utc.com;24;204,700;united-technologies-fortune-500;
52;Prudential Financial;$59,689;John R. Strangfeld;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);Newark, N.J.;www.prudential.com;24;49,705;prudential-financial-fortune-500;
53;Albertsons Cos.;$59,678.2;Robert G. Miller;Chairman & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Boise, Idaho;www.albertsons.com;14;273,000;albertsons-fortune-500;
54;Sysco;$55,371.1;Thomas L. Ben�;President, Chief Executive Officer & Director;Wholesalers;Wholesalers: Food and Grocery;Houston;www.sysco.com;24;66,500;sysco-fortune500;
55;Disney;$55,137;Robert A. Iger;Chairman & Chief Executive Officer;Media;Entertainment;Burbank, Calif.;www.disney.com;24;199,000;walt-disney-fortune500;
56;Humana;$53,767;Bruce D. Broussard;President, Chief Executive Officer & Director;Health Care;Health Care: Insurance and Managed Care;Louisville, Ky.;www.humana.com;24;45,900;58-humana-supplied-dec-associates_cw;
57;Pfizer;$52,546;Ian C. Read;Chairman & Chief Executive Officer;Health Care;Pharmaceuticals;New York City;www.pfizer.com;24;90,200;pfizer-fortune-500;
58;HP;$52,056;Dion J. Weisler;President, Chief Executive Officer & Director;Technology;Computers, Office Equipment;Palo Alto, Calif.;www.hp.com;24;49,000;hp-fortune-500;
59;Lockheed Martin;$51,048;Marillyn A. Hewson;Chairman, President & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Bethesda, Md.;www.lockheedmartin.com;24;100,000;lockheed-martin-fortune-500;
60;AIG;$49,520;Brian Duperreault;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);New York City;www.aig.com;24;49,800;aig-fortune-500;
61;Centene;$48,572;Michael F. Neidorff;Chairman & Chief Executive Officer;Health Care;Health Care: Insurance and Managed Care;St. Louis;www.centene.com;9;33,700;centene-fortune-500;
62;Cisco Systems;$48,005;Charles H. Robbins;Chairman & Chief Executive Officer;Technology;Network and Other Communications Equipment;San Jose, Calif.;www.cisco.com;22;72,900;cisco-systems-fortune-500;
63;HCA Healthcare;$47,653;NA;NA;Technology;NA;NA;NA;NA;NA;cisco-systems-fortune-500;
64;Energy Transfer Equity;$47,487;John W. McReynolds;President & Director;Energy;Pipelines;Dallas;www.energytransfer.com;12;29,486;energy-transfer-equity-fortune-500;
65;Caterpillar;$45,462;D. James Umpleby III;Chairman & Chief Executive Officer;Industrials;Construction and Farm Machinery;Deerfield, Ill.;www.caterpillar.com;24;98,400;caterpillar-fortune-500;
66;Nationwide;$43,939.9;Stephen S. Rasmussen;Chief Executive Officer;Financials;Insurance: Property and Casualty (Mutual);Columbus, Ohio;www.nationwide.com;24;33,135;nationwide-mutual-insurance-100-best-companies-2018-web;
67;Morgan Stanley;$43,642;James P. Gorman;Chairman & Chief Executive Officer;Financials;Commercial Banks;New York City;www.morganstanley.com;24;57,633;morgan-stanley-fortune-500;
68;Liberty Mutual Insurance Group;$42,687;David H. Long;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Boston;www.libertymutual.com;24;50,000;f500-2018-liberty-mutual-insurance-group;
69;New York Life Insurance;$42,296;Theodore A. Mathas;Chairman & Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);New York City;www.newyorklife.com;24;11,114;new-york-life-insurance-fortune-500;
70;Goldman Sachs Group;$42,254;David M. Solomon;Chairman & Chief Executive Officer;Financials;Commercial Banks;New York City;www.gs.com;19;36,600;goldman-sachs-blue-ribbon-companies-2016;
71;American Airlines Group;$42,207;W. Douglas Parker;Chairman & Chief Executive Officer;Transportation;Airlines;Fort Worth;www.aa.com;24;126,600;american-airlines-fortune-500;
72;Best Buy;$42,151;Hubert B. Joly;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Richfield, Minn.;www.bestbuy.com;24;125,000;best-buy-fortune-500;
73;Cigna;$41,616;David M. Cordani;President, Chief Executive Officer & Director;Health Care;Health Care: Insurance and Managed Care;Bloomfield, Conn.;www.cigna.com;24;46,000;cigna-fortune-500;
74;Charter Communications;$41,581;Thomas M. Rutledge;Chairman & Chief Executive Officer;Telecommunications;Telecommunications;Stamford, Conn.;www.charter.com;18;94,800;charter-communication-fortune-500;
75;Delta Air Lines;$41,244;Edward H. Bastian;Chairman & Chief Executive Officer;Transportation;Airlines;Atlanta;www.delta.com;24;86,564;delta-fortune-500;
76;Facebook;$40,653;Mark Zuckerberg;Chairman & Chief Executive Officer;Technology;Internet Services and Retailing;Menlo Park, Calif.;www.facebook.com;6;25,105;facebook-fortune-500;
77;Honeywell International;$40,534;Darius Adamczyk;President, Chief Executive Officer & Director;Industrials;Electronics, Electrical Equip.;Morris Plains, N.J.;www.honeywell.com;24;131,000;honeywell-fortune-500;
78;Merck;$40,122;Kenneth C. Frazier;Chairman, President & Chief Executive Officer;Health Care;Pharmaceuticals;Kenilworth, N.J.;www.merck.com;24;69,000;merck-fortune-500;
79;Allstate;$38,524;Thomas J. Wilson;Chairman, President & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);Northbrook, Ill.;www.allstate.com;23;42,680;allstate-fortune-500;
80;Tyson Foods;$38,260;Noel White;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Production;Springdale, Ark.;www.tysonfoods.com;24;122,000;tyson-fortune-500;
81;United Continental Holdings;$37,736;Oscar Munoz;Chairman & Chief Executive Officer;Transportation;Airlines;Chicago;www.united.com;24;89,800;united-fortune-500;
82;Oracle;$37,728;Safra A. Catz/Mark V. Hurd;Co-Chief Executive Officer & Director;Technology;Computer Software;Redwood City, Calif.;www.oracle.com;23;138,000;oracle-fortune-500;
83;Tech Data;$36,775;Richard T. Hume;Chairman & Chief Executive Officer;Wholesalers;Wholesalers: Electronics and Office Equipment;Clearwater, Fla.;www.techdata.com;24;14,000;techdata-supplied_tech_data_sales_053;
84;TIAA;$36,025.3;Roger W. Ferguson Jr.;President, Chief Executive Officer & Director;Financials;Insurance: Life, Health (Mutual);New York City;www.tiaa.org;21;16,829;charlotte;
85;TJX;$35,864.7;Ernie L. Herrman;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Apparel;Framingham, Mass.;www.tjx.com;24;249,000;tjx-fortune-500;
86;American Express;$35,583;Stephen J. Squeri;Chairman & Chief Executive Officer;Financials;Diversified Financials;New York City;www.americanexpress.com;24;55,000;american-express-fortune-500;
87;Coca-Cola;$35,410;James R. Quincey;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Beverages;Atlanta;www.coca-colacompany.com;24;61,800;coca-cola-fortune-500;
88;Publix Super Markets;$34,836.8;Randall T. Jones Sr.;President, Chief Executive Officer & Director;Food & Drug Stores;Food and Drug Stores;Lakeland, Fla.;www.publix.com;24;193,000;publix-fortune-500;
89;Nike;$34,350;Mark G. Parker;Chairman, President & Chief Executive Officer;Apparel;Apparel;Beaverton, Ore.;www.nike.com;24;74,400;nike-fortune-500;
90;Andeavor;$34,204;NA;NA;Apparel;NA;NA;NA;NA;NA;nike-fortune-500;
91;World Fuel Services;$33,695.5;Michael J. Kasbar;Chairman & Chief Executive Officer;Energy;Energy;Miami;www.wfscorp.com;14;5,000;f500-2018-world-fuel-services;
92;Exelon;$33,531;Christopher M. Crane;President, Chief Executive Officer & Director;Energy;Utilities: Gas and Electric;Chicago;www.exeloncorp.com;24;34,621;exelon-fortune-500;
93;Massachusetts Mutual Life Insurance;$33,495.4;Roger W. Crandall;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);Springfield, Mass.;www.massmutual.com;24;11,811;94-mass-mutual_massmutual4;
94;Rite Aid;$32,845.1;John T. Standley;Chairman & Chief Executive Officer;Food & Drug Stores;Food and Drug Stores;Camp Hill, Pa.;www.riteaid.com;24;70,430;rite-aid-fortune-500;
95;ConocoPhillips;$32,584;Ryan M. Lance;Chairman & Chief Executive Officer;Energy;Mining, Crude-Oil Production;Houston;www.conocophillips.com;24;11,400;conocophillips-fortune-500;
96;CHS;$31,934.8;Jay D. Debertin;President, Chief Executive Officer & Director;Food, Beverages & Tobacco;Food Production;Inver Grove Heights, Minn.;www.chsinc.com;19;11,626;cropconsulting2_5x7;
97;3M;$31,657;Michael F. Roman;Chairman, President & Chief Executive Officer;Industrials;Miscellaneous;St. Paul, Minn.;www.3m.com;24;91,536;3m-fortune-500;
98;Time Warner;$31,271;John Stankey;Chairman & Chief Executive Officer;Media;Entertainment;New York City;www.timewarner.com;19;26,000;time-warner-fortune-500;
99;General Dynamics;$30,973;Phebe N. Novakovic;Chairman & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Falls Church, Va.;www.generaldynamics.com;24;98,600;general-dynamics-fortune-500;
100;USAA;$30,015.8;Stuart Parker;Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);San Antonio;www.usaa.com;24;32,705;usaa;
101;Capital One Financial;$29,999;Richard D. Fairbank;Chairman, President & Chief Executive Officer;Financials;Commercial Banks;McLean, Va.;www.capitalone.com;19;49,300;capital-one-fortune-500;
102;Deere;$29,737.7;Samuel R. Allen;Chairman, President & Chief Executive Officer;Industrials;Construction and Farm Machinery;Moline, Ill.;www.johndeere.com;24;60,476;deere-fortune-500;
103;INTL FCStone;$29,423.6;Sean M. O'Connor;President, Chief Executive Officer & Director;Financials;Diversified Financials;New York City;www.intlfcstone.com;10;1,607;93-intl-fcstone-still-70;
104;Northwestern Mutual;$29,331;John E. Schlifske;Chairman & Chief Executive Officer;Financials;Insurance: Life, Health (Mutual);Milwaukee;www.northwesternmutual.com;24;5,437;supplied-northwestern-mutual__mi17093;
105;Enterprise Products Partners;$29,241.5;A. James Teague;Chairman & Chief Executive Officer;Energy;Pipelines;Houston;www.enterpriseproducts.com;13;7,000;NA;
106;Travelers Cos.;$28,902;Alan D. Schnitzer;Chairman & Chief Executive Officer;Financials;Insurance: Property and Casualty (Stock);New York City;www.travelers.com;24;30,800;travelers-fortune-500;
107;Hewlett Packard Enterprise;$28,871;Antonio Neri;President, Chief Executive Officer & Director;Technology;Computers, Office Equipment;Palo Alto, Calif.;www.hpe.com;2;66,000;f500-2018-hewlett-packard-enterprise;
108;Philip Morris International;$28,748;Andr� Calantzopoulos;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Tobacco;New York City;www.pmi.com;10;80,600;philip-morris-fortune-500;
109;Twenty-First Century Fox;$28,500;James R. Murdoch;Chief Executive Officer & Director;Media;Entertainment;New York City;www.21cf.com;14;21,700;twenty-first-century-fox-fortune-500;
110;AbbVie;$28,216;Richard A. Gonzalez;Chairman & Chief Executive Officer;Health Care;Pharmaceuticals;North Chicago, Ill.;www.abbvie.com;5;29,000;abbvie-fortuen-500;
111;Abbott Laboratories;$27,390;Miles D. White;Chairman & Chief Executive Officer;Health Care;Medical Products and Equipment;Abbott Park, Ill.;www.abbott.com;24;99,000;abbott-laboratories-fortune-500;
112;Progressive;$26,839;Susan Patricia Griffith;President, Chief Executive Officer & Director;Financials;Insurance: Property and Casualty (Stock);Mayfield Village, Ohio;www.progressive.com;24;33,656;progressive-fortune-500;
113;Arrow Electronics;$26,812.5;Michael J. Long;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Electronics and Office Equipment;Centennial, Colo.;www.arrow.com;24;18,800;arrow-electronics-fortune-500;
114;Kraft Heinz;$26,232;Bernardo Hees;Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Pittsburgh;www.kraftheinzcompany.com;24;39,000;kraft-heinz-fortune-500;
115;Plains GP Holdings;$26,223;Greg L. Armstrong;Chairman & Chief Executive Officer;Energy;Pipelines;Houston;www.plainsallamerican.com;5;4,850;paa_sunsetshot;
116;Gilead Sciences;$26,107;John F. Milligan IV;President, Chief Executive Officer & Director;Health Care;Pharmaceuticals;Foster City, Calif.;www.gilead.com;10;10,000;f500-2018-gilead-sciences;
117;Mondelez International;$25,896;Dirk Van de Put;Chairman & Chief Executive Officer;Food, Beverages & Tobacco;Food Consumer Products;Deerfield, Ill.;www.mondelezinternational.com;11;83,000;mondelez-fortune-500;
118;Northrop Grumman;$25,803;Wesley G. Bush;Chairman & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Falls Church, Va.;www.northropgrumman.com;24;70,000;northrop-grumman-fortune-500;
119;Raytheon;$25,348;Thomas A. Kennedy;Chairman & Chief Executive Officer;Aerospace & Defense;Aerospace and Defense;Waltham, Mass.;www.raytheon.com;24;64,000;raytheon-fortune-500;
120;Macy’s;$24,837;Jeffrey Gennette;Chairman & Chief Executive Officer;Retailing;General Merchandisers;Cincinnati;www.macysinc.com;24;130,000;macys-fortune-500;
121;US Foods Holding;$24,147.2;Pietro Satriano;Chairman, President & Chief Executive Officer;Wholesalers;Wholesalers: Food and Grocery;Rosemont, Ill.;www.usfoods.com;7;25,204;hdk8rr;
122;U.S. Bancorp;$23,996;Andrew J. Cecere;President, Chief Executive Officer & Director;Financials;Commercial Banks;Minneapolis;www.usbank.com;20;72,402;f500-2018-us-bank;
123;Dollar General;$23,471;Todd J. Vasos;Chairman & Chief Executive Officer;Retailing;Specialty Retailers: Other;Goodlettsville, Tenn.;www.dollargeneral.com;20;129,000;dollar-general-fortune-500;
124;International Paper;$23,302;Mark S. Sutton;Chairman & Chief Executive Officer;Materials;Packaging, Containers;Memphis;www.internationalpaper.com;24;56,000;international-paper-fortune-500;
125;Duke Energy;$23,189;Lynn J. Good;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Charlotte, N.C.;www.duke-energy.com;24;29,060;duke-energy-fortune-500;
126;Southern;$23,031;Thomas A. Fanning;Chairman, President & Chief Executive Officer;Energy;Utilities: Gas and Electric;Atlanta;www.southerncompany.com;24;31,344;163-southern_rw5_6580;
127;Marriott International;$22,894;Arne M. Sorenson;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Hotels, Casinos, Resorts;Bethesda, Md.;www.marriott.com;20;177,000;marriott-fortune-500;
128;Avnet;$22,872.1;William J. Amelio;Chief Executive Officer & Director;Wholesalers;Wholesalers: Electronics and Office Equipment;Phoenix;www.avnet.com;24;15,700;avnet-fortune-500;
129;Eli Lilly;$22,871.3;David A. Ricks;Chairman, President & Chief Executive Officer;Health Care;Pharmaceuticals;Indianapolis;www.lilly.com;24;40,655;eli-lilly-fortune-500;
130;Amgen;$22,849;Robert A. Bradway;Chairman, President & Chief Executive Officer;Health Care;Pharmaceuticals;Thousand Oaks, Calif.;www.amgen.com;19;20,800;amgen-fortune-500;
131;McDonald’s;$22,820.4;Stephen J. Easterbrook;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Food Services;Oak Brook, Ill.;www.aboutmcdonalds.com;24;235,000;mcdonalds-fortune-500;
132;Starbucks;$22,386.8;Keven R. Johnson;President, Chief Executive Officer & Director;Hotels, Restaurants & Leisure;Food Services;Seattle;www.starbucks.com;16;277,000;starbucks-fortune-500;
133;Qualcomm;$22,291;Steven M. Mollenkopf;Chairman & Chief Executive Officer;Technology;Semiconductors and Other Electronic Components;San Diego;www.qualcomm.com;19;33,800;qualcomm-fortune-500;
134;Dollar Tree;$22,245.5;Gary M. Philbin;President, Chief Executive Officer & Director;Retailing;Specialty Retailers: Other;Chesapeake, Va.;www.dollartree.com;10;116,200;dollar-tree-fortune-500;
135;PBF Energy;$21,786.6;Thomas J. Nimbley;Chairman & Chief Executive Officer;Energy;Petroleum Refining;Parsippany, N.J.;www.pbfenergy.com;6;3,165;pbf-energy-fortune-500;
136;Icahn Enterprises;$21,744;Keith Cozza;President, Chief Executive Officer & Director;Financials;Diversified Financials;New York City;www.ielp.com;10;89,034;icahn-fortune-500;
137;Aflac;$21,667;Daniel P. Amos;Chairman, President & Chief Executive Officer;Financials;Insurance: Life, Health (stock);Columbus, Ga.;www.aflac.com;24;11,318;aflac-fortune-500;
138;AutoNation;$21,534.6;Michael J. Jackson;Chairman, President & Chief Executive Officer;Retailing;Automotive Retailing, Services;Fort Lauderdale, Fla.;www.autonation.com;21;26,000;f500-2018-autonation;
139;Penske Automotive Group;$21,389;Roger S. Penske;Chairman & Chief Executive Officer;Retailing;Automotive Retailing, Services;Bloomfield Hills, Mich.;www.penskeautomotive.com;20;26,000;f500-2018-penske-automotive-group;
140;Whirlpool;$21,253;Marc R. Bitzer;President, Chief Executive Officer & Director;Industrials;Electronics, Electrical Equip.;Benton Harbor, Mich.;www.whirlpoolcorp.com;24;92,000;whirlpool-fortune-500;
141;Union Pacific;$21,240;Lance M. Fritz;Chairman, President & Chief Executive Officer;Transportation;Railroads;Omaha;www.up.com;24;41,992;f500-2018-union-pacific;
142;Southwest Airlines;$21,171;Gary C. Kelly;Chairman & Chief Executive Officer;Transportation;Airlines;Dallas;www.southwest.com;24;56,110;southwest-airlines-fortune-500;
143;ManpowerGroup;$21,034.3;Jonas Prising;Chairman & Chief Executive Officer;Business Services;Temporary Help;Milwaukee;www.manpowergroup.com;24;29,000;f500-2018-manpower-group;
144;Thermo Fisher Scientific;$20,918;Marc N. Casper;President, Chief Executive Officer & Director;Technology;Scientific,Photographic and  Control Equipment;Waltham, Mass.;www.thermofisher.com;16;66,100;thermo-fisher-scientific-fortune-500;
145;Bristol-Myers Squibb;$20,776;Giovanni Caforio;Chairman & Chief Executive Officer;Health Care;Pharmaceuticals;New York City;www.bms.com;24;23,700;bristol-meyer-squibb-fortune-500;
146;Halliburton;$20,620;Jeffrey A. Miller;President, Chief Executive Officer & Director;Energy;Oil and Gas Equipment, Services;Houston;www.halliburton.com;24;55,000;halliburton-fortune-500;
147;Tenet Healthcare;$20,613;Ronald A. Rittenmeyer;Chairman & Chief Executive Officer;Health Care;Health Care: Medical Facilities;Dallas;www.tenethealth.com;24;111,980;f500-2018-tenet-healthcare;
148;Lear;$20,467;Raymond E. Scott;President, Chief Executive Officer & Director;Motor Vehicles & Parts;Motor Vehicles and Parts;Southfield, Mich.;www.lear.com;24;165,000;lear-fortune-500;
149;Cummins;$20,428;N. Thomas Linebarger;Chairman & Chief Executive Officer;Industrials;Industrial Machinery;Columbus, Ind.;www.cummins.com;24;58,600;f500-2018-cummins;
150;Micron Technology;$20,322;Sanjay Mehrotra;President, Chief Executive Officer & Director;Technology;Semiconductors and Other Electronic Components;Boise, Idaho;www.micron.com;21;34,100;micron-technology-fortune-500;
151;Nucor;$20,252.4;John J. Ferriola;Chairman, President & Chief Executive Officer;Materials;Metals;Charlotte, N.C.;www.nucor.com;24;25,100;nucor-fortune-500;
